FMI 	Description
0 	High – most severe (3)
1 	Low – most severe (3)
2 	Erratic, Intermittent, or Incorrect
3 	Voltage Above Normal
4 	Voltage Below Normal
5 	Current Below Normal
6 	Current Above Normal
7 	Not Responding Properly
8 	Abnormal Frequency, Pulse Width, or Period
9 	Abnormal Update Rate
10 	Abnormal Rate of Change
11 	Other Failure Mode
12 	Failure
13 	Out of Calibration
14 	Special Instruction
15 	High – least severe (1)
16 	High – moderate severity (2)
17 	Low – least severe (1)
18 	Low – moderate severity (2)
19 	Data Error
20 	Data Drifted High
21 	Data Drifted Low
31 	-
